15 1449 17 12786 9 468 8 509 13 1539 24 24822 17 31 36 39 1997 3344 3792 4062 10 43 54 61 660 37722 50075 57488
28 3203 40 36749 23 2663 15 8457 18 2214 40 44254 41 50 53 54 4242 5796 6314 6625 66 91 100 105 62430 92256 102198 108164
27 2921 41 36777 23 2663 15 8457 19 2428 40 44231 41 50 53 54 4242 5796 6314 6625 66 91 100 105 62430 92256 102198 108164
16 3281 14 5034 11 567 10 598 10 4592 9 6022 23 30 32 34 2663 8450 10378 11536 15 25 28 30 8457 12598 13978 14806
39 9901 39 23481 27 2752 23 5618 38 12522 42 36330 35 82 98 107 12308 24954 29170 31699 32 86 103 114 15359 63343 79338 88935
57 12974 60 40431 46 8495 40 29231 31 10649 37 32379 66 94 104 110 12308 24954 29170 31699 85 107 114 119 56618 79847 87590 92235
76 14410 88 68273 66 8495 93 56618 25 9843 27 29408 97 107 110 112 14710 25915 29650 31891 104 114 118 120 95333 103434 106135 107755
44 6588 51 39558 46 7528 40 29231 32 5021 40 38930 59 81 89 93 7933 11999 13354 14167 93 99 101 103 51348 85840 97338 104236
19 2231 26 23550 12 738 9 488 21 2809 38 42751 20 43 51 55 2667 5583 6555 7139 14 68 85 96 8118 68548 88692 100778
6 406 5 264 5 449 5 260 4 257 3 170 10 11 11 11 619 690 714 728 8 8 8 8 420 460 474 482
14 2885 18 15499 10 619 8 420 10 4296 18 19027 23 27 28 29 1837 7574 9487 10634 32 41 44 45 33331 39487 41539 42771
31 7334 44 38051 23 2245 32 33331 22 7653 38 38266 30 57 66 71 11400 16901 18735 19835 47 89 102 111 43592 81831 94578 102226
53 10248 61 46261 54 12477 54 35609 30 7228 36 33686 75 88 93 96 14114 17987 19278 20052 89 105 111 114 49451 84175 95750 102695
79 14777 84 62495 75 14114 89 49451 42 7934 43 37846 98 128 138 144 20569 23237 24126 24660 117 132 137 140 106128 106846 107085 107229
56 8017 53 34395 23 1713 21 13965 57 9627 54 39982 98 128 138 144 12477 20000 22508 24012 89 121 132 138 49451 83457 94792 101593
29 3517 48 52357 23 1713 21 13965 22 4189 57 79061 48 57 60 62 3379 8319 9966 10954 47 114 136 150 37101 139813 174051 194593
29 3777 44 49716 20 2321 7 2470 22 4043 59 80509 48 57 60 62 3379 8319 9966 10954 47 114 136 150 37101 139813 174051 194593
38 3196 76 94628 42 3334 42 43290 22 1565 72 98279 58 61 62 63 3379 4861 5355 5652 159 165 167 169 208289 214498 216568 217810
52 5272 57 64063 42 5343 42 39157 38 3204 58 78793 58 95 108 115 5850 8781 9758 10344 49 121 145 160 43290 148498 183568 204610
59 7411 65 72791 58 5850 49 39157 33 4448 57 76358 60 96 108 116 10735 12655 13295 13679 79 133 151 162 76399 161742 190190 207258
