9 2628 26 25544 1 40 1 40 14 4890 49 50459 9 25 31 34 706 7718 10056 11458 7 77 101 115 1224 76365 101412 116441 2 1 0 2 1 0 2 1 0 2 1 0 2 1 0 2 1 0 2 1 0 2 1 0
10 2989 40 42831 7 706 7 1224 13 4750 49 53476 9 25 31 34 1847 8175 10284 11550 71 103 114 120 86475 110466 118463 123261 1 2 0 1 2 0 1 2 0 1 2 0 2 1 0 2 1 0 2 1 0 2 1 0
10 7971 20 17900 7 1847 12 809 10 13940 26 34296 18 24 26 27 2219 22363 29078 33107 17 49 60 66 2219 52772 69623 79734 1 2 0 1 2 0 1 2 0 1 2 0 1 3 0 1 3 0 1 3 0 1 3 0
21 9905 35 27364 18 2219 17 3186 12 13116 26 33756 28 36 39 40 7532 24488 30140 33532 63 67 69 70 44135 69539 78007 83087 0 0 0 0 0 0 0 0 0 0 0 0 1 5 0 1 5 0 1 5 0 1 5 0
21 10380 33 25915 20 5277 29 23790 12 12906 19 22319 28 36 39 40 7532 24488 30140 33532 48 57 60 61 44135 52247 54951 56573 0 0 0 0 0 0 0 0 0 0 0 0 1 5 0 1 5 0 1 5 0 1 5 0
16 3048 30 25300 7 1167 29 23790 14 2838 23 22968 20 33 37 40 5277 6630 7081 7351 48 57 60 61 44135 52247 54951 56573 0 0 0 0 0 0 0 0 0 0 0 0 1 5 0 1 5 0 1 5 0 1 5 0
3 486 11 11715 4 574 3 220 3 444 18 22971 7 7 7 7 692 977 1072 1129 7 31 39 44 704 34874 46264 53098 1 2 0 1 2 0 1 2 0 1 2 0 1 3 0 1 3 0 1 3 0 1 3 0
1 140 1 166 0 0 0 0 2 222 2 273 2 5 5 6 126 394 484 538 2 5 5 6 126 472 588 657 2 1 0 2 1 0 2 1 0 2 1 0 2 1 0 2 1 0 2 1 0 2 1 0
2 401 11 12375 0 0 0 0 3 740 21 24687 2 5 6 7 126 1177 1528 1738 2 32 42 48 126 37099 49424 56819 2 1 0 2 1 0 2 1 0 2 1 0 2 1 0 2 1 0 2 1 0 2 1 0
6 1143 36 41660 8 1138 17 10415 5 1056 42 52492 9 11 12 12 1879 2372 2537 2636 53 87 99 106 61749 106383 121261 130188 1 2 0 1 2 0 1 2 0 1 2 0 1 3 0 1 3 0 1 3 0 1 3 0
10 5930 38 41832 9 1879 17 10415 6 8977 40 52357 13 17 19 20 2702 15363 19584 22116 53 87 99 106 61749 106383 121261 130188 0 0 0 0 0 0 0 0 0 0 0 0 1 5 0 1 5 0 1 5 0 1 5 0
